Method,Leakage (%),Leakage Error (%),Time (s),FOM
Analytical,10.49,-,-,-
ST,10.54 ± 0.41,0.05,6.55,2.21E-04
DT,10.51 ± 0.42,0.02,3.66,3.69E-04
WDT,10.44 ± 0.35,0.07,4.01,4.29E-04
