Method,Leakage (%),Leakage Error (%),Time (s),FOM
Analytical,2.91,-,-,-
ST,2.91 ± 0.21,0.00,3.79,3.54E-04
DT,2.94 ± 0.23,0.03,17.01,8.01E-05
WDT,2.89 ± 0.19,0.02,35.38,7.53E-05
